"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C7,L1","4","10u","","","","","~"
"C3,C5,C8,C10,C13,C16","6","1u","","","","","~"
"C4","1","2.2u","","","","","~"
"C6,C11,C12,C14","4","0.1u","","","","","~"
"C9","1","C","","","","","~"
"C15","1","22p","","","","","~"
"D1,D2,D3","3","PDS1040","","","","","~"
"J1","1","14V","","","","","~"
"J2","1","BATT","","","","","~"
"Q1,Q2","2","Si7336ADP","","","","Package_SO:PowerPAK_SO-8_Single","https://www.vishay.com/docs/73152/si7336adp.pdf"
"R1,R2","2","3.9","","","","","~"
"R3,R4","2","10","","","","","~"
"R5","1","2.2","","","","","~"
"R6","1","0.02","","","","","~"
"R7,R10","2","0","","","","","~"
"R8,R16","2","R","","","","","~"
"R9","1","5.23k","","","","","~"
"R11","1","100","","","","","~"
"R12","1","30.1k","","","","","~"
"R13","1","499k","","","","","~"
"R15","1","100k","","","","","~"
"TP1,TP2,TP4,TP5","4","TestPoint","","","","","~"
"TP3","1","TestPoint_Probe","","","","","~"
"U1","1","BQ24650","","","","Package_DFN_QFN:Texas_RVA_VQFN-16-1EP_3.5x3.5mm_P0.5mm_EP2.14x2.14mm_ThermalVias","https://www.ti.com/lit/ds/symlink/bq24650.pdf"
